OverallCond,Age,1stFlrSF,2ndFlrSF,FullBath,SalePrice
5,14,856,854,2,208500
8,41,1262,0,2,181500
5,16,920,866,2,223500
5,102,961,756,1,140000
5,17,1145,1053,2,250000
5,24,796,566,1,143000
5,13,1694,0,2,307000
6,44,1107,983,2,200000
5,86,1022,752,2,129900
6,78,1077,0,1,118000
5,52,1040,0,1,129500
5,12,1182,1142,3,345000
6,55,912,0,1,144000
5,11,1494,0,2,279500
5,57,1253,0,1,157000
8,88,854,0,1,132000
7,47,1004,0,1,149000
5,50,1296,0,2,90000
5,13,1114,0,1,159000
6,59,1339,0,1,139000
5,12,1158,1218,3,325300
7,87,1108,0,1,139400
5,15,1795,0,2,230000
7,41,1060,0,1,129900
8,49,1060,0,1,154000
5,10,1600,0,2,256300
7,66,900,0,1,134800
5,10,1704,0,2,306000
6,60,1600,0,1,207500
6,90,520,0,1,68500
4,97,649,668,1,40000
6,51,1228,0,1,149350
5,10,1234,0,2,179900
5,58,1700,0,1,165500
5,12,1561,0,2,277500
5,13,1132,1320,3,309000
5,23,1097,0,1,145000
6,63,1297,0,1,153000
7,64,1057,0,1,109000
5,62,1152,0,2,82000
5,52,1324,0,2,160000
6,58,1328,0,1,170000
7,34,884,0,1,144000
6,42,938,0,1,130250
6,58,1150,0,1,141000
5,12,1752,0,2,319900
5,14,1518,631,1,239686
5,11,1656,0,2,249700
5,97,736,716,2,113000
7,51,955,0,1,127000
6,20,794,676,2,177000
6,83,816,0,1,114500
5,54,816,0,1,110000
5,36,1842,0,0,385000
5,62,1360,0,1,130000
5,53,1425,0,2,180500
5,18,983,756,2,172500
5,13,860,860,2,196500
5,11,1426,1519,3,438780
7,45,780,0,1,124900
5,13,1158,0,1,158000
7,97,581,530,1,101000
5,11,1370,0,2,202500
6,96,902,808,2,140000
5,20,1057,977,2,219500
5,13,1143,1330,2,317000
5,47,2207,0,2,180000
5,14,1479,0,2,226000
6,72,747,0,1,80000
4,64,1304,983,2,225000
6,44,2223,0,2,244000
6,35,845,0,1,129500
5,19,885,833,2,185000
7,63,1086,0,1,144900
6,102,840,765,2,107400
5,44,526,462,1,91000
7,61,952,0,1,135750
5,69,1072,213,1,127000
5,49,1768,0,2,136500
6,107,682,548,1,110000
6,49,1182,960,2,193500
5,19,1337,0,2,153500
5,10,1563,0,2,245000
5,57,1065,0,1,126500
5,22,804,670,2,168500
5,26,1301,1116,2,260000
5,12,684,876,2,174000
5,8,612,612,2,164500
2,102,1013,0,1,85000
5,23,990,0,1,123600
5,67,1040,0,1,109900
3,56,1235,0,1,98600
7,96,964,0,1,163500
6,107,1260,1031,2,133900
5,20,905,881,2,204750
8,24,680,790,2,185000
5,18,1588,0,2,214000
5,52,960,0,1,94750
5,97,835,0,1,83000
